,HER_2024_06_17_17_50_17.sdds,HER_2024_06_17_17_51_02.sdds,HER_2024_06_17_17_51_31.sdds,HER_2024_06_17_17_52_05.sdds,HER_2024_06_17_17_52_33.sdds,HER_2024_06_17_17_53_03.sdds,HER_2024_06_17_17_53_37.sdds
MQC1LE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQC2LE,0.00076925848348,-0.000211127158,-0.001794630792,-0.000387343695,-0.000638639129,-0.000433414639,-0.000729759041
MQLC3LE,0.00071558826128,0.000480860421,-0.00210085623,0.00104839100988,-0.000360246933,0.001092202757,-0.00060706284
MQLC7LE,-0.0109819872266,-0.0089168027243,-0.008459849181,-0.0139605286949,-0.010804705748,-0.009408847911,-0.0092134702467
MQLB1LE,-0.0196657801306,-0.014758622045,-0.011558072958,-0.0097175569329,-0.012887708892,-0.0114119629946,-0.013478828387
MQLB4LE,0.00127173495928,-0.000161566836,-0.001235277922,0.0014214292353,0.000296173654,0.001320283294,0.002652290405
MQLA2LE,0.00124091986438,0.000375530009,-0.000689014476,0.0007555865591,0.0004966036828,0.0015640199549,0.0004957543
MQLA5LE,0.00012667615018,0.001431995612,-0.00105298574,-0.00070272697,0.000275980295,0.001206702904,0.002787877531
MQD3E1,-0.0156244562036,-0.012616627927,-0.0119848572987,-0.0121499454749,-0.01228919506,-0.013588166961,-0.010792889082
MQEAE4,-0.00942943087862,-0.009645213192,-0.0116782136022,-0.0102942510849,-0.011568842406,-0.012584068034,-0.012047865571
MQD3E4,-0.00395119908462,-0.000925235152,-0.006182481205,-0.0043047637169,-0.0048673345708,-0.004971330334,-0.002606169331
MQEAE6,-0.00259038530512,-8.55662499966e-06,-0.001847995772,-0.0012898848828,-0.001471084811,-0.001833491381,-0.000389434906
MQTATNE1,-0.00905144801562,-0.008185538325,-0.008918931828,-0.0065772331549,-0.006911030252,-0.006431588951,-0.0040048957
MQTATNE2,-0.00734440575062,-0.007341111318,-0.007695125061,-0.0049609421919,-0.00527709534,-0.004655070163,-0.003324000739
MQEAE8,-0.00529262885662,-0.007844993353,-0.008322975391,-0.0077428847589,-0.008763293161,-0.009646519239,-0.008683815147
MQEAE10,0.00110167816938,0.001290997838,6.22905890008e-05,0.0010425425411,0.000568787709801,0.001087057827,0.001030006877
MQEAE11,-0.47184520816,-0.471557560323,-0.47183472338,-0.469396008232,-0.468809128162,-0.467414762443,-0.466354791996
MQR2NE1,-0.00187345688462,-0.004965420487,-0.007005884227,-0.0051837286199,-0.004816260663,-0.0032827120827,-0.004810855152
MQFRNE3,-0.0133042649786,-0.00652059351147,-0.009379310312,-0.0118349958269,-0.013682501984,-0.015160275628,-0.011194144759
MQDRNE5,-0.00714726707262,-0.003106510783,-0.008446177738,-0.0091628096309,-0.0078128555619,-0.0044536595272,-0.009852527565
MQEAE13,-0.00286760933312,-0.003492699301,-0.005394776767,-0.0044593322001,-0.00574116949,-0.006058560824,-0.004942134855
MQD3E12,-0.467866029468,-0.469021336148,-0.467745500732,-0.46817030029,-0.465885959884,-0.466847644635,-0.464696505244
MQEAE16,-0.469313786563,-0.469404124098,-0.469665816519,-0.468246536806,-0.466973788508,-0.465986919159,-0.464028152631
MQD3E14,-0.475231678336,-0.472665068042,-0.474783261445,-0.472792298121,-0.008484585171,-0.473575165558,-0.47003551516
MQEAE18,-0.474593887886,-0.473997110435,-0.474640791929,-0.472732194561,-0.009382049317,-0.472321708526,-0.469812580047
MQTANFE1,-0.46442959444,-0.464669738297,-0.466544254259,-0.464530211279,-0.465283221937,-0.46550184153,-0.466071548481
MQD3E16,-0.465207144815,-0.464282013874,-0.464043413709,-0.463844201333,-0.461744712932,-0.461578159367,-0.459296945188
MQEAE20,,,,,,,
MQD3E18,,,,,,,
MQEAE22,-0.472243217809,-0.472325250426,-0.472374065795,-0.470498275146,-0.469144765917,-0.468756624431,-0.465966209777
MQEAE23,-0.46750308636,-0.468547944889,-0.470699701868,-0.46780242091,-0.469452438637,-0.469065865697,-0.470801317547
MQI6E,-0.468979861359,-0.468192383331,-0.469530731871,-0.47009625778,-0.469487929816,-0.47089301782,-0.469804900514
MQI5E,-0.465950911521,-0.465383309478,-0.466307637227,-0.464002981706,-0.463780575805,-0.463248287991,-0.462724836603
MQI4E,-0.46515003379,-0.465868200405,-0.466305198358,-0.464014437164,-0.464094465234,-0.461558387676,-0.459798601791
MQX2RE,-0.466982885502,-0.468260383533,-0.469124596306,-0.468708809352,-0.469276281961,-0.4696963547,-0.470354850799
MQM2E,-0.465410690809,-0.466833543983,-0.468150679628,-0.467269020082,-0.46778532281,-0.467137895127,-0.465211129658
MQM7E,-0.467683939318,-0.468596391466,-0.471134914243,-0.465417829082,-0.467262446397,-0.469780754741,-0.465006806994
MQEAE25,,,,,,,
MQD3E21,-0.00746000677662,-0.007136634945,-0.007805702117,-0.0043115607279,-0.004922119034,-0.003329557839,-0.0049224056026
MQEAE27,-0.00620369601362,-0.007168849376,-0.008115292736,-0.0078365070229,-0.008831603187,-0.009479902533,-0.009658060294
MQD3E23,-0.00480570088662,-0.0087564766672,-0.008737531639,-0.0076515790109,-0.009685790861,-0.01128799176,-0.01198778082
MQEAE29,-0.00496793990212,-0.004681820594,-0.006486969798,-0.0056690186369,-0.006326474486,-0.006569366586,-0.008139991429
MQEAE30,-0.00657954794462,-0.004876951953,-0.006081568544,-0.0065417508679,-0.008257890488,-0.008348201505,-0.006931265251
MQTAFOE1,-0.00272852479662,-0.00453424691,-0.004971699476,-0.0023280267399,-0.002210501131,-0.000792008364997,0.0013600291088
MQTAFOE2,-0.00359990607162,-0.002564777537,-0.003793567186,-0.0015866243209,-0.0003968349315,0.000272654178501,0.001892163428
MQEAE32,-0.00262494274062,-0.003184360429,-0.0033940373406,-0.0028624113319,-0.002953980445,-0.003713900656,-0.002628024397
MQEAE33,0.28873541332,0.289483196944,0.287855426119,0.292282196737,0.296008745503,0.301202839438,0.305329462892
MQD3E29,0.000194410137181,0.001037208874,0.000767541161001,-0.000356543251899,-0.000404989691999,0.002098104502,0.000251070844001
MQEAE35,-0.490775234055,-0.495694056558,0.498015136091,-0.492243751986,-0.492804670589,-0.495415967711,0.494270809094
MQR2ORE,,0.034246420842,0.00790616441,0.0169541960099,0.005430407966,0.002162271796,-0.012729586906
MQDROE5,0.00558023718195,-0.004098010738,-0.00105124527,-0.0031090166955,-0.003581315155,-0.005515412027,-0.009732386165
MQD3E31,-0.0334701399246,-0.029130990485,-0.032024146979,-0.0273469995022,-0.0308598858,-0.034371383213,-0.0287949063927
MQEAE39,-0.0110731530066,-0.01072232749,-0.012441589934,-0.0104348328089,-0.011471569487,-0.0119348434852,-0.009413929703
MQD3E33,-0.00900651321762,-0.009697241918,-0.010517375132,-0.0086295548079,-0.00967612594,-0.01112525815,-0.0066687799482
MQEAE41,0.000259161603383,-0.001189655637,-0.0028566926735,-0.0015332328899,-0.003134371877,-0.004778939796,-0.004545151593
MQTAOTE1,-0.00546544483912,-0.0039446249,-0.005536478765,-0.003652345413,-0.004086976757,-0.003188377242,-0.000619857589
MQTAOTE2,-0.000377793402615,-0.00120150854,-0.002831543776,-0.0014128520809,-0.00209222857327,-0.000701055760996,0.001537544845
MQEAE44,-0.00894203557262,-0.007950222732,-0.009193325108,-0.0069675582309,-0.00703529966,-0.0052626579732,-0.003527905179
MQEAE45,0.00171748681138,0.0024934007478,0.000722600442002,0.0013695720071,-0.000503867757998,-0.001964399961,-0.001861037822
